x,y,SOC,ELEV,Aspect,Slope,NDVI,Silt_Clay
-1093437.568,2012102.529,6.439,2183.276123,166.1653137,12.33284473,0.360457808,45.64545441
-936045.7978,1813599.259,16.019,2992.823486,200.2796021,15.15106678,0.684369624,47.46091843
-933666.5209,1789523.05,3.152,2723.777344,183.1520081,10.93907642,0.515593827,54.87575912
-996069.9259,1872527.629,7.03,2358.116211,190.4120941,12.25690556,0.630654573,60.20510101
-892971.2909,1927011.44,6.641,2554.352051,202.8256378,16.27211571,0.563999057,48.31818008
-960305.3705,1952787.33,9.151,2702.168457,190.7331848,13.88063431,0.770299137,52.58469391
-836918.809,1653339.409,1.948,2670.14917,229.5141144,10.0300169,0.332219809,36.62727356
-899240.2722,1599043.789,12.02,2692.366699,137.2445831,7.891315937,0.383159369,55.21458435
-872118.3239,1922740.49,14.541,2602.433594,138.4364777,11.38863754,0.558181643,53.31702042
-955270.1167,1421731.428,1.152,1677.491211,147.4213104,3.478643179,0.183924556,23.11612892
-1172782.087,1174473.769,6.209,1595.71936,152.4858093,10.18558025,0.273865074,58.40299988
-875398.6995,1847981.549,23.058,3376.141846,224.0729828,13.68394852,0.503067672,35.84000015
-1078241.573,2463050.74,14.242,2324,181.2133179,19.7778759,0.407292426,57.79999924
-910818.7121,2079143.659,8.974,2650.486816,149.4073486,8.470442772,0.592254341,40.08399963
-1214288.488,1067078.198,0.843,1464.812744,196.0595856,8.877799988,0.198272943,56.60400009
-1053950.389,1413870.818,4.803,2313.449463,207.3528748,7.856686592,0.355491102,53.18700027
-987578.942,1803475.839,21.125,2777.413574,190.1287842,19.34244156,0.727437496,56.6269989
-896172.6297,1568610.238,7.6,2769.29248,159.84552,10.34941864,0.612713993,59.17040634
-931751.9742,1593884.469,8.454,2513.318359,177.2636719,8.072370529,0.603295386,68.36276245
-1037231.489,1225578.369,3.539,1655.756348,129.142868,5.790001869,0.189074486,38.15816498
-1060295.853,1328532.329,5.198,2237.860352,177.1649628,8.30507946,0.285888344,49.16799927
-1126354.834,1693198.829,2.821,1998.159546,195.905014,6.415997028,0.39424783,51.97600174
-959772.3912,1493787.24,18.277,2705.762939,187.1365509,9.070051193,0.6759516,60.18888855
